short_period,long_period,final_value,total_return,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2025,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025
5,63,266301357.3294559,26530.135732945593,1000000,621594.3915475396,1076675.8963789202,2118915.1219295952,20922966.736589324,9717021.456923863,21130606.93157806,63185564.90051911,135898136.68993872,84434980.76990826,129174431.09627105,259777147.82977745,266301357.3294559,0.0,-37.84056084524604,73.21197086389346,96.80157501955206,887.4376996061914,-53.55810875552801,117.4597125801492,199.02389981090965,115.07782181563155,-37.868919452109424,52.98686624715554,101.10570305989648,2.5114639814097663
5,64,293435405.5662058,29243.54055662058,1000000,621594.3915475396,1076675.8963789202,2104882.5714532416,22306270.230494715,10797651.680046666,24121463.760812957,72290727.77608515,162776028.67253077,94388968.78037451,144402725.420101,286246429.5890064,293435405.5662058,0.0,-37.84056084524604,73.21197086389346,95.49825333068098,959.7394141134505,-51.59364802599187,123.39546112038231,199.69461427762363,125.16861246260615,-42.012979705836074,52.986866247155575,98.22785806587045,2.5114639814097703
5,65,279662012.7071249,27866.201270712492,1000000,621594.3915475396,1031500.683943441,1981186.192665806,20066657.841339372,10235928.135677058,22675078.844832577,67180186.64028445,157336660.89637822,91640370.4456873,138934393.45613563,272810475.86818296,279662012.7071249,0.0,-37.84056084524604,65.94433572275108,92.06833533950793,912.8607758132246,-48.99036891639226,121.52440447289959,196.27322180444872,134.20098806637083,-41.75523369849475,51.60828440613757,96.3592088911481,2.5114639814097424
5,66,267246322.89247757,26624.632289247755,1000000,621594.3915475396,1043334.3437974767,1995899.246532563,20649412.54589891,10533189.16059525,23333584.56001264,69131162.73841485,161905866.1951384,96004626.2931339,134579391.82179636,264259029.1117978,267246322.89247757,0.0,-37.84056084524604,67.84809483238112,91.30006199814986,934.591930518173,-48.99036891639225,121.5244044728996,196.27322180444875,134.20098806637085,-40.70342937579326,40.18011112389619,96.35920889114811,1.1304415182029424
5,67,211151408.72573406,21015.140872573407,1000000,620000.559774341,988913.2841208938,1727358.7174557403,19263459.177280314,9977198.504475992,22814383.248099666,66570232.99142713,127921878.80473903,75853287.20926423,106331222.30107474,208791146.91467845,211151408.72573406,0.0,-37.999944022565906,59.501998591876195,74.67241518464346,1015.1973809848733,-48.206610180152445,128.66522338775388,191.79063167079974,92.1607797605466,-40.70342937579326,40.1801111238962,96.35920889114814,1.1304415182029297
5,68,224916267.3278923,22391.62673278923,1000000,620000.559774341,988913.2841208938,1576702.260778217,17121057.261876713,8949229.482596451,21582614.15648266,63732243.15339991,120581336.13675003,71709657.7200859,110082648.90350577,222402141.18654725,224916267.3278923,0.0,-37.999944022565906,59.501998591876195,59.43786842542471,985.8776376350363,-47.72969130519988,141.1672893007641,195.29436374720612,89.19989344564189,-40.530052147738076,53.511608343197516,102.03196725534507,1.1304415182029415
5,69,240939859.80187178,23993.98598018718,1000000,620000.559774341,937674.7427776074,1707042.8301024213,19014294.786841325,9949618.9997626,23995226.437481254,70856551.23826167,129208766.246476,76840385.90733029,117958912.26346244,238246621.0814514,240939859.80187178,0.0,-37.999944022565906,51.2377251915529,82.0506357082595,1013.8733282808424,-47.67295284257323,141.16728930076403,195.29436374720615,82.35260394201185,-40.53005214773807,53.51160834319755,101.97424383612925,1.1304415182029508
5,70,275508100.43231857,27450.810043231853,1000000,620000.559774341,917179.1199846546,1707367.7845066115,17731403.10179726,9453024.743838388,23834535.05718572,67617998.18352173,123303180.42111416,75114469.0817594,135927642.91504425,272428456.0576437,275508100.43231857,0.0,-37.999944022565906,47.931982564415186,86.15423610332272,938.5227636774939,-46.6876665677956,152.136598634436,183.69757589685398,82.35260394201185,-39.081482873983546,80.9606652043189,100.42167304255652,1.13044151820294
5,71,265278336.92183992,26427.83369218399,1000000,620000.559774341,911957.9864743055,1634708.1441605866,15459253.34033864,8241688.6869305335,20780313.525265757,59086279.93669059,111302104.03754556,70860728.98910357,128230046.54731147,262313041.39425838,265278336.92183992,0.0,-37.999944022565906,47.08986501661017,79.25257176380292,845.6888922687101,-46.687666567795596,152.13659863443598,184.33776932600415,88.3721638200998,-36.33478036929104,80.96066520431891,104.56441252048985,1.130441518202933
5,72,209816536.55995518,20881.653655995517,1000000,620000.559774341,927865.5625662963,1668086.1082160587,14066206.510351887,7499022.916061241,17646576.34721356,49294416.62365769,91328679.8604489,57415771.28750698,102439870.67338338,207471196.02181238,209816536.55995518,0.0,-37.999944022565906,49.65560077945861,79.77670209059767,743.2542205746829,-46.6876665677956,135.31834139909765,179.34266485318219,85.27185453416617,-37.13281372813137,78.41765141570627,102.52973247429034,1.1304415182029528
5,73,210511915.80694324,20951.191580694325,1000000,569865.356614483,846337.4881930623,1536459.36892532,12291038.473105432,6552639.413062492,16132907.296898302,45144126.130561344,94871239.54068463,58435847.20155109,104259866.1618782,208158802.28215182,210511915.80694324,0.0,-43.01346433855169,48.5153428559115,81.5421614143164,699.958574999769,-46.6876665677956,146.20471660225692,179.82635305442258,110.15190163678766,-38.40509780997282,78.41765141570633,99.65381689532943,1.130441518202943
5,74,216572332.12344673,21557.233212344672,1000000,622387.5092978458,949174.9393570581,1751431.9705908133,14010730.23402864,7352752.247856341,18102822.834300775,50545628.62564298,106222599.75105721,62495713.692959614,110407121.96155234,214151474.93889353,216572332.12344673,0.0,-37.76124907021543,52.50546085474653,84.52151420866414,699.9585749997688,-47.52056370339425,146.20471660225684,179.21407113298588,110.15190163678766,-41.16533219915133,76.6635108832914,93.96527246989433,1.130441518202935
5,75,203311824.55988407,20231.182455988404,1000000,619212.0628218362,971611.1954747918,1759678.3302654095,13777675.472038275,7074828.683036216,17355518.032198068,48531437.95372348,101989739.75142759,58669163.570004135,103647004.16863024,201039194.04256633,203311824.55988407,0.0,-38.07879371781638,56.91089592909792,81.10930982073722,682.9655701880587,-48.6500556832352,145.31361549167318,179.63116896705503,110.15190163678763,-42.47542575067418,76.66351088329132,93.96527246989427,1.1304415182029404
5,76,231731953.45932803,23073.195345932803,1000000,619212.0628218362,929728.9010357094,1713447.298318047,13415702.409147777,7843693.117730784,19638674.53030217,52902986.097829446,116742146.42667845,66186444.74086537,117581984.09275687,226850224.79946488,231731953.45932803,0.0,-38.07879371781638,50.14709125639517,84.29536786575986,682.9655701880583,-41.533489052482274,150.375355531295,169.38165310597188,120.67213032322243,-43.30544129370219,77.65266672521307,92.9294071279743,2.151961129497924
5,77,189174421.68197012,18817.442168197013,1000000,629758.2536728164,947261.3007341773,1664561.2305711354,12376983.624933487,7133746.649362736,17861143.536043797,43647608.343909085,96778123.24130829,54031316.01027323,95988073.7589774,185189221.61675772,189174421.68197012,0.0,-37.024174632718356,50.41665515452155,75.72355476582997,643.5583262195024,-42.362801264503794,150.375355531295,144.3718581390278,121.72606223638238,-44.1699072056289,77.65266672521307,92.92940712797424,2.151961129497927
